,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.662162162,0.589285714,"[[0.50245255 0.49754745]
 [0.58382595 0.41617405]
 [0.44460922 0.5553908 ]
 [0.44460922 0.5553908 ]
 [0.60540485 0.39459515]
 [0.6232282  0.37677178]
 [0.44460922 0.5553908 ]
 [0.58382595 0.41617405]
 [0.6593331  0.34066686]
 [0.621413   0.378587  ]
 [0.4613365  0.5386635 ]
 [0.4613365  0.5386635 ]
 [0.60540485 0.39459515]
 [0.621413   0.378587  ]
 [0.60540485 0.39459515]
 [0.44460922 0.5553908 ]
 [0.4613365  0.5386635 ]
 [0.621413   0.378587  ]
 [0.50245255 0.49754745]
 [0.44460922 0.5553908 ]
 [0.56733507 0.43266493]
 [0.60540485 0.39459515]
 [0.4613365  0.5386635 ]
 [0.6593331  0.34066686]
 [0.46325624 0.53674376]
 [0.6593331  0.34066686]
 [0.50245255 0.49754745]
 [0.44460922 0.5553908 ]
 [0.50245255 0.49754745]
 [0.50245255 0.49754745]
 [0.6593331  0.34066686]
 [0.621413   0.378587  ]
 [0.406241   0.593759  ]
 [0.6593331  0.34066686]
 [0.44460922 0.5553908 ]
 [0.4613365  0.5386635 ]
 [0.44460922 0.5553908 ]
 [0.4613365  0.5386635 ]
 [0.44460922 0.5553908 ]
 [0.46325624 0.53674376]
 [0.4613365  0.5386635 ]
 [0.6232282  0.37677178]
 [0.50245255 0.49754745]
 [0.6593331  0.34066686]
 [0.6593331  0.34066686]
 [0.44460922 0.5553908 ]
 [0.42262322 0.5773768 ]
 [0.58382595 0.41617405]
 [0.621413   0.378587  ]
 [0.621413   0.378587  ]
 [0.46325624 0.53674376]
 [0.44460922 0.5553908 ]
 [0.44460922 0.5553908 ]
 [0.4613365  0.5386635 ]
 [0.406241   0.593759  ]
 [0.4613365  0.5386635 ]]","              precision    recall  f1-score   support

           0       0.69      0.59      0.63        34
           1       0.48      0.59      0.53        22

   micro avg       0.59      0.59      0.59        56
   macro avg       0.59      0.59      0.58        56
weighted avg       0.61      0.59      0.59        56
","[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1
 1 1 1 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 1]"
1,0.68018018,0.535714286,"[[0.4286713  0.5713287 ]
 [0.5839673  0.41603267]
 [0.41621077 0.5837892 ]
 [0.6446377  0.35536227]
 [0.6446377  0.35536227]
 [0.6446377  0.35536227]
 [0.45456886 0.54543114]
 [0.5839673  0.41603267]
 [0.5185522  0.48144782]
 [0.5839673  0.41603267]
 [0.5839673  0.41603267]
 [0.41621077 0.5837892 ]
 [0.59632    0.40368003]
 [0.45456886 0.54543114]
 [0.41621077 0.5837892 ]
 [0.5185522  0.48144782]
 [0.47954178 0.5204582 ]
 [0.5185522  0.48144782]
 [0.5185522  0.48144782]
 [0.5185522  0.48144782]
 [0.5185522  0.48144782]
 [0.41621077 0.5837892 ]
 [0.46725857 0.5327414 ]
 [0.5185522  0.48144782]
 [0.45456886 0.54543114]
 [0.41621077 0.5837892 ]
 [0.45456886 0.54543114]
 [0.5839673  0.41603267]
 [0.46725857 0.5327414 ]
 [0.45456886 0.54543114]
 [0.4286713  0.5713287 ]
 [0.45456886 0.54543114]
 [0.47954178 0.5204582 ]
 [0.6446377  0.35536227]
 [0.6446377  0.35536227]
 [0.46725857 0.5327414 ]
 [0.5839673  0.41603267]
 [0.47954178 0.5204582 ]
 [0.41621077 0.5837892 ]
 [0.45456886 0.54543114]
 [0.46725857 0.5327414 ]
 [0.45456886 0.54543114]
 [0.59632    0.40368003]
 [0.45456886 0.54543114]
 [0.5185522  0.48144782]
 [0.41621077 0.5837892 ]
 [0.41621077 0.5837892 ]
 [0.45456886 0.54543114]
 [0.45456886 0.54543114]
 [0.4286713  0.5713287 ]
 [0.47954178 0.5204582 ]
 [0.5839673  0.41603267]
 [0.5839673  0.41603267]
 [0.59632    0.40368003]
 [0.47954178 0.5204582 ]
 [0.47954178 0.5204582 ]]","              precision    recall  f1-score   support

           0       0.67      0.47      0.55        34
           1       0.44      0.64      0.52        22

   micro avg       0.54      0.54      0.54        56
   macro avg       0.55      0.55      0.54        56
weighted avg       0.58      0.54      0.54        56
","[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 0
 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1]"
2,0.612612613,0.678571429,"[[0.44435978 0.5556402 ]
 [0.5878294  0.4121706 ]
 [0.5878294  0.4121706 ]
 [0.55330586 0.4466941 ]
 [0.44435978 0.5556402 ]
 [0.44435978 0.5556402 ]
 [0.55330586 0.4466941 ]
 [0.55330586 0.4466941 ]
 [0.47938073 0.5206193 ]
 [0.44435978 0.5556402 ]
 [0.5878294  0.4121706 ]
 [0.47938073 0.5206193 ]
 [0.44435978 0.5556402 ]
 [0.5878294  0.4121706 ]
 [0.44435978 0.5556402 ]
 [0.5878294  0.4121706 ]
 [0.48340845 0.51659155]
 [0.55330586 0.4466941 ]
 [0.55330586 0.4466941 ]
 [0.44435978 0.5556402 ]
 [0.55330586 0.4466941 ]
 [0.47938073 0.5206193 ]
 [0.47938073 0.5206193 ]
 [0.55330586 0.4466941 ]
 [0.47938073 0.5206193 ]
 [0.48340845 0.51659155]
 [0.47938073 0.5206193 ]
 [0.44435978 0.5556402 ]
 [0.5878294  0.4121706 ]
 [0.44435978 0.5556402 ]
 [0.48340845 0.51659155]
 [0.48340845 0.51659155]
 [0.55330586 0.4466941 ]
 [0.44435978 0.5556402 ]
 [0.44435978 0.5556402 ]
 [0.44435978 0.5556402 ]
 [0.48340845 0.51659155]
 [0.5878294  0.4121706 ]
 [0.5878294  0.4121706 ]
 [0.48340845 0.51659155]
 [0.55330586 0.4466941 ]
 [0.48340845 0.51659155]
 [0.44435978 0.5556402 ]
 [0.47938073 0.5206193 ]
 [0.5878294  0.4121706 ]
 [0.5878294  0.4121706 ]
 [0.5878294  0.4121706 ]
 [0.55330586 0.4466941 ]
 [0.5186343  0.4813657 ]
 [0.47938073 0.5206193 ]
 [0.48340845 0.51659155]
 [0.55330586 0.4466941 ]
 [0.44435978 0.5556402 ]
 [0.44435978 0.5556402 ]
 [0.55330586 0.4466941 ]
 [0.48340845 0.51659155]]","              precision    recall  f1-score   support

           0       0.83      0.59      0.69        34
           1       0.56      0.82      0.67        22

   micro avg       0.68      0.68      0.68        56
   macro avg       0.70      0.70      0.68        56
weighted avg       0.73      0.68      0.68        56
","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]","[1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1
 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 0 1]"
3,0.608108108,0.535714286,"[[0.6679479  0.3320521 ]
 [0.44613242 0.5538676 ]
 [0.6679479  0.3320521 ]
 [0.6679479  0.3320521 ]
 [0.40776443 0.59223557]
 [0.48506558 0.5149344 ]
 [0.48506558 0.5149344 ]
 [0.6679479  0.3320521 ]
 [0.44604564 0.55395436]
 [0.43306696 0.56693304]
 [0.63236225 0.36763775]
 [0.3950212  0.6049788 ]
 [0.6199474  0.38005263]
 [0.40776443 0.59223557]
 [0.43306696 0.56693304]
 [0.3950212  0.6049788 ]
 [0.48506558 0.5149344 ]
 [0.6679479  0.3320521 ]
 [0.44613242 0.5538676 ]
 [0.44613242 0.5538676 ]
 [0.44613242 0.5538676 ]
 [0.44604564 0.55395436]
 [0.48506558 0.5149344 ]
 [0.43306696 0.56693304]
 [0.44613242 0.5538676 ]
 [0.43306696 0.56693304]
 [0.63236225 0.36763775]
 [0.48506558 0.5149344 ]
 [0.6199474  0.38005263]
 [0.44613242 0.5538676 ]
 [0.63236225 0.36763775]
 [0.48506558 0.5149344 ]
 [0.6679479  0.3320521 ]
 [0.6679479  0.3320521 ]
 [0.6679479  0.3320521 ]
 [0.6679479  0.3320521 ]
 [0.48506558 0.5149344 ]
 [0.6679479  0.3320521 ]
 [0.63236225 0.36763775]
 [0.44613242 0.5538676 ]
 [0.48506558 0.5149344 ]
 [0.6679479  0.3320521 ]
 [0.6679479  0.3320521 ]
 [0.43306696 0.56693304]
 [0.48506558 0.5149344 ]
 [0.48506558 0.5149344 ]
 [0.44613242 0.5538676 ]
 [0.40776443 0.59223557]
 [0.43306696 0.56693304]
 [0.3950212  0.6049788 ]
 [0.48506558 0.5149344 ]
 [0.44613242 0.5538676 ]
 [0.44604564 0.55395436]
 [0.40776443 0.59223557]
 [0.44613242 0.5538676 ]
 [0.43306696 0.56693304]]","              precision    recall  f1-score   support

           0       0.72      0.38      0.50        34
           1       0.45      0.77      0.57        22

   micro avg       0.54      0.54      0.54        56
   macro avg       0.58      0.58      0.53        56
weighted avg       0.61      0.54      0.53        56
","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1
 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1]"
4,0.585585586,0.625,"[[0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.59194887 0.40805113]
 [0.59194887 0.40805113]
 [0.59194887 0.40805113]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]
 [0.4592039  0.5407961 ]
 [0.59194887 0.40805113]]","              precision    recall  f1-score   support

           0       0.88      0.44      0.59        34
           1       0.51      0.91      0.66        22

   micro avg       0.62      0.62      0.62        56
   macro avg       0.70      0.68      0.62        56
weighted avg       0.74      0.62      0.61        56
","[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1
 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1 0]"
5,0.59009009,0.607142857,"[[0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.4580034  0.5419966 ]
 [0.61160874 0.3883913 ]]","              precision    recall  f1-score   support

           0       0.77      0.50      0.61        34
           1       0.50      0.77      0.61        22

   micro avg       0.61      0.61      0.61        56
   macro avg       0.64      0.64      0.61        56
weighted avg       0.67      0.61      0.61        56
","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1 0 0 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 0 0 1
 1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 0]"
6,0.603603604,0.553571429,"[[0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.4772172  0.5227828 ]
 [0.6308679  0.3691321 ]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.4772172  0.5227828 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.53909683 0.46090317]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.53909683 0.46090317]
 [0.4772172  0.5227828 ]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]
 [0.6308679  0.3691321 ]
 [0.6308679  0.3691321 ]
 [0.4772172  0.5227828 ]
 [0.6308679  0.3691321 ]
 [0.44247586 0.55752414]
 [0.44247586 0.55752414]]","              precision    recall  f1-score   support

           0       0.80      0.35      0.49        34
           1       0.46      0.86      0.60        22

   micro avg       0.55      0.55      0.55        56
   macro avg       0.63      0.61      0.55        56
weighted avg       0.67      0.55      0.53        56
","[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0]","[1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1
 0 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1]"
7,0.684684685,0.642857143,"[[0.60138845 0.39861155]
 [0.55534023 0.44465977]
 [0.41783887 0.5821611 ]
 [0.41783887 0.5821611 ]
 [0.55534023 0.44465977]
 [0.41783887 0.5821611 ]
 [0.50729203 0.49270794]
 [0.42997324 0.57002676]
 [0.6417787  0.35822126]
 [0.50729203 0.49270794]
 [0.6417787  0.35822126]
 [0.45205766 0.54794234]
 [0.50729203 0.49270794]
 [0.58941853 0.41058147]
 [0.55534023 0.44465977]
 [0.45205766 0.54794234]
 [0.45205766 0.54794234]
 [0.45205766 0.54794234]
 [0.42997324 0.57002676]
 [0.41783887 0.5821611 ]
 [0.42997324 0.57002676]
 [0.41783887 0.5821611 ]
 [0.46439308 0.5356069 ]
 [0.45205766 0.54794234]
 [0.58941853 0.41058147]
 [0.58941853 0.41058147]
 [0.45205766 0.54794234]
 [0.45205766 0.54794234]
 [0.6417787  0.35822126]
 [0.46439308 0.5356069 ]
 [0.55534023 0.44465977]
 [0.50729203 0.49270794]
 [0.50729203 0.49270794]
 [0.47249764 0.52750236]
 [0.50729203 0.49270794]
 [0.6091646  0.39083543]
 [0.42997324 0.57002676]
 [0.45205766 0.54794234]
 [0.56757474 0.4324253 ]
 [0.41783887 0.5821611 ]
 [0.45205766 0.54794234]
 [0.6417787  0.35822126]
 [0.50729203 0.49270794]
 [0.6091646  0.39083543]
 [0.50729203 0.49270794]
 [0.45205766 0.54794234]
 [0.41783887 0.5821611 ]
 [0.41783887 0.5821611 ]
 [0.58941853 0.41058147]
 [0.41783887 0.5821611 ]
 [0.6091646  0.39083543]
 [0.50729203 0.49270794]
 [0.6091646  0.39083543]
 [0.60138845 0.39861155]
 [0.46439308 0.5356069 ]
 [0.47249764 0.52750236]]","              precision    recall  f1-score   support

           0       0.75      0.62      0.68        34
           1       0.54      0.68      0.60        22

   micro avg       0.64      0.64      0.64        56
   macro avg       0.64      0.65      0.64        56
weighted avg       0.67      0.64      0.65        56
","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 0 1
 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1]"
8,0.558558559,0.732142857,"[[0.4471367  0.5528633 ]
 [0.488567   0.511433  ]
 [0.5300958  0.4699042 ]
 [0.5814209  0.4185791 ]
 [0.5300958  0.4699042 ]
 [0.49895853 0.5010415 ]
 [0.488567   0.511433  ]
 [0.5814209  0.4185791 ]
 [0.5712702  0.4287298 ]
 [0.4471367  0.5528633 ]
 [0.488567   0.511433  ]
 [0.49895853 0.5010415 ]
 [0.488567   0.511433  ]
 [0.4471367  0.5528633 ]
 [0.5712702  0.4287298 ]
 [0.5712702  0.4287298 ]
 [0.49895853 0.5010415 ]
 [0.5814209  0.4185791 ]
 [0.49895853 0.5010415 ]
 [0.5814209  0.4185791 ]
 [0.488567   0.511433  ]
 [0.5814209  0.4185791 ]
 [0.49895853 0.5010415 ]
 [0.4471367  0.5528633 ]
 [0.4471367  0.5528633 ]
 [0.4471367  0.5528633 ]
 [0.49895853 0.5010415 ]
 [0.5300958  0.4699042 ]
 [0.49895853 0.5010415 ]
 [0.5300958  0.4699042 ]
 [0.5814209  0.4185791 ]
 [0.488567   0.511433  ]
 [0.488567   0.511433  ]
 [0.49895853 0.5010415 ]
 [0.49895853 0.5010415 ]
 [0.488567   0.511433  ]
 [0.4471367  0.5528633 ]
 [0.5712702  0.4287298 ]
 [0.49895853 0.5010415 ]
 [0.4471367  0.5528633 ]
 [0.5712702  0.4287298 ]
 [0.5300958  0.4699042 ]
 [0.5814209  0.4185791 ]
 [0.5712702  0.4287298 ]
 [0.4471367  0.5528633 ]
 [0.488567   0.511433  ]
 [0.49895853 0.5010415 ]
 [0.488567   0.511433  ]
 [0.4471367  0.5528633 ]
 [0.5300958  0.4699042 ]
 [0.4471367  0.5528633 ]
 [0.4471367  0.5528633 ]
 [0.5814209  0.4185791 ]
 [0.488567   0.511433  ]
 [0.49895853 0.5010415 ]
 [0.5814209  0.4185791 ]]","              precision    recall  f1-score   support

           0       0.95      0.59      0.73        34
           1       0.60      0.95      0.74        22

   micro avg       0.73      0.73      0.73        56
   macro avg       0.78      0.77      0.73        56
weighted avg       0.81      0.73      0.73        56
","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]","[1 1 0 0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1
 0 1 1 0 0 0 0 1 1 1 1 1 0 1 1 0 1 1 0]"
9,0.599099099,0.571428571,"[[0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.6162201  0.38377985]
 [0.4277805  0.5722195 ]
 [0.6162201  0.38377985]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4277805  0.5722195 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4277805  0.5722195 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4277805  0.5722195 ]
 [0.4277805  0.5722195 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4277805  0.5722195 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.5787096  0.42129043]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.6162201  0.38377985]
 [0.4663372  0.5336628 ]
 [0.4663372  0.5336628 ]
 [0.4277805  0.5722195 ]]","              precision    recall  f1-score   support

           0       0.81      0.38      0.52        34
           1       0.47      0.86      0.61        22

   micro avg       0.57      0.57      0.57        56
   macro avg       0.64      0.62      0.57        56
weighted avg       0.68      0.57      0.56        56
","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0
 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1]"
