train_auc:               precision    recall  f1-score   support

           0       0.11      0.46      0.18       130
           1       0.15      0.39      0.21       280
           2       0.13      0.35      0.19       153
           3       0.54      0.47      0.50      1968
           4       0.34      0.80      0.48       441
           5       0.49      0.33      0.40      1744
           6       0.36      0.30      0.33      1070
           7       0.38      0.10      0.15       894

   micro avg       0.37      0.37      0.37      6680
   macro avg       0.31      0.40      0.31      6680
weighted avg       0.43      0.37      0.37      6680

test_auc:               precision    recall  f1-score   support

           0       0.05      0.17      0.08        40
           1       0.06      0.16      0.09        70
           2       0.07      0.24      0.11        37
           3       0.51      0.42      0.46       482
           4       0.30      0.59      0.40       119
           5       0.43      0.28      0.34       456
           6       0.30      0.26      0.28       260
           7       0.12      0.03      0.05       206

   micro avg       0.30      0.30      0.30      1670
   macro avg       0.23      0.27      0.22      1670
weighted avg       0.35      0.30      0.31      1670

train_rho: 0.14093228429006624
test_rho: 0.06713986251236233
