,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.49099099099099097,0.44642857142857145,"[0.3663005177100643, 0.38503912968717496, 0.3957288382450427, 0.33804035493188284, 0.333414360747071, 0.18354763569369656, -0.9319830702255776, 0.34126941949964623, 0.6180093227323974, 0.3781418975646548, 0.4608646738505773, 0.3283819557828039, 0.624026717214949, 0.44817022776928056, 0.709404264149287, 0.45179185014991563, 0.4239672899935871, -4.164490228103764, 0.35394201382057916, 0.33702580028870094, 0.36636815814595813, 0.9125610960288977, 0.27856413324893686, 0.37835563509308784, 0.2755101934789632, 0.25674088368050274, 0.49315258847209653, -1.7105495901851924, 0.4240326220955517, 0.36266172761512383, 0.2991580577190543, 0.30865418033319214, 0.33473171731545137, -0.07025148144593268, -2.385459012428719, 0.32011050004549885, 0.38766891999762587, 0.47318173860501944, 0.5286166851412767, -0.18982951435260026, 0.419584462845885, 1.2069236775939318, 0.4159237177756347, 0.3064048107410386, 0.36162369230427666, 0.3593303172693139, 0.18931943977829432, 0.31960411423919965, 1.4071724918229305, 0.3983050046491888, 0.10511024176526523, 0.33485495117460884, 0.3363014052924748, 0.4766339095992228, 0.12003531712894283, 0.26228377529234154]","['              precision    recall  f1-score   support', '', '           0       0.33      0.07      0.11        29', '           1       0.46      0.85      0.60        27', '', '   micro avg       0.45      0.45      0.45        56', '   macro avg       0.40      0.46      0.36        56', 'weighted avg       0.39      0.45      0.35        56', '']","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,0.6216216216216216,0.48214285714285715,"[0.22821586007553274, -0.45783963751045553, -0.018406878693844345, 0.07992186930901356, 0.43159737224142697, 0.06978427161152093, 0.03851796145870254, 0.09166540745942173, 0.09321729947990817, 0.1650543942766796, 0.08690640295884465, 0.0290091101534019, 0.26005117554553603, -0.05056230887191319, 0.05106587449174352, 0.06694316502936154, 0.03523029888875375, 0.1588097141555358, 0.05455823080578113, -0.02910516571471746, -0.4072103943872466, 0.041763572440209236, -1.6339155941003176, -0.05690268047353499, 0.4620768007255839, 0.07236295659853453, -2.19832552130443, -0.12281911605341367, 0.05848748975885325, 0.025093496872243697, 0.08096960227550518, 0.05720316473198331, 0.5769420546051849, -0.07552165007597753, 0.09806324623109813, 0.44864166304415815, 0.02296495349042671, -0.008333016076667511, 0.07110200296332503, 0.0369769773452318, 0.002771141296419366, 0.03680338345974911, 0.11381142788164478, 0.05848101634433007, 0.3942056082433273, 0.4322855027987498, 0.0287567318290193, -0.05122500180122908, 0.007039147163623569, 0.05963252664900097, -0.0232950072723997, -0.009021416454056318, 0.13182025326000166, 0.48450616058514656, 0.09017096283519228, 0.018472418217112787]","['              precision    recall  f1-score   support', '', '           0       0.86      0.31      0.45        39', '           1       0.36      0.88      0.51        17', '', '   micro avg       0.48      0.48      0.48        56', '   macro avg       0.61      0.60      0.48        56', 'weighted avg       0.71      0.48      0.47        56', '']","[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]"
2,0.7162162162162162,0.7142857142857143,"[0.01651228794399265, -0.04978017571036246, 0.03384541619872873, -0.06988720487396786, -0.05684340268365978, -0.37748418388115856, -5.300951492281182, -0.13064860468595918, -0.007533837026636486, 0.39269381247268953, -0.012359608895771486, -0.988577268353463, -0.02581972800288862, 0.021412523084441026, -0.08052254099789473, 0.1759511021824348, -0.07326123413074928, 0.04245605663832648, 0.4132308522475353, -0.0643386329661761, 0.20474101581382445, 0.08073665037038277, -0.01018309114335944, -2.3014790366572035, -0.060163141891595884, -0.04706077204517221, 0.11363671786968535, -0.06956997612068715, -1.5998913476209005, -0.034519521604907136, -0.2450851008111561, -0.008859712152503231, -0.18977938645028405, 0.021611702929882154, -1.339868385918635, -0.2174275061295335, -0.02138136198589608, -0.200497560931198, -0.14816602365681875, -0.08812781439142382, 0.00698866529334638, -0.7021207037632039, 0.016315834052717207, -0.10006100842767046, -0.09157303195653733, -0.0725209264080023, -0.028566213029352076, -0.2861498685813686, 0.24826204883158112, -0.08848035556256217, -0.4479997252405654, -0.03235044612316377, -0.12282142863573255, 0.5567476199154823, -0.04386391329884305, 0.3205173491492266]","['              precision    recall  f1-score   support', '', '           0       0.75      0.83      0.79        36', '           1       0.62      0.50      0.56        20', '', '   micro avg       0.71      0.71      0.71        56', '   macro avg       0.69      0.67      0.67        56', 'weighted avg       0.71      0.71      0.71        56', '']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
3,0.6396396396396397,0.6428571428571429,"[-0.45868230412663047, -1.325399287698132, -0.40274800505966263, -1.5446594289472455, -0.3751623820986929, -0.35945732788582224, -0.2675047039804139, -1.047815020252491, -0.23565589659728198, -0.6997176969852739, -0.6149576907871073, -0.45048744780096744, -0.36333686364341244, -0.9787909038663114, -0.4404859357231108, 0.07862627270910533, -0.35331068681185307, -0.2850636344032543, -0.3104645890588401, -0.4537110149280743, 0.13500482734246916, -1.0714333118890402, -0.5164327743102055, -0.4432313969090702, -0.29998641244306673, -0.3241642351074744, -0.39462986007971174, -0.021685032021293293, -0.36971697231207845, -0.3207417553395286, -0.20781881587559664, -0.3220384492630426, -0.29891493357071014, -0.24435263123863837, -0.32098616263348984, -0.30000568725643273, -0.08176491805955813, -0.17104698753673525, -0.5451461087079329, -0.21525548445783166, -0.36105502875738854, -0.4032255879916705, -0.27165921445305435, -0.06835638356712304, -0.33236728244602304, -0.32342239769271863, 0.7133053442909361, -0.43817085166619246, -0.2543200905046765, -0.34168111902664333, -0.31710516416904677, 0.08980655321986697, -0.29954834742573866, -0.25816833460882677, -0.21499987976733986, -3.36544899659478]","['              precision    recall  f1-score   support', '', '           0       0.65      0.94      0.77        36', '           1       0.50      0.10      0.17        20', '', '   micro avg       0.64      0.64      0.64        56', '   macro avg       0.58      0.52      0.47        56', 'weighted avg       0.60      0.64      0.56        56', '']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
4,0.545045045045045,0.5,"[0.26002888011609576, 0.03256192742879191, 0.5179277854975297, 0.10504915513787424, 0.12782890815866876, 0.1242517595260213, -0.06551142341888005, 0.1058550104534827, 0.168273881665346, 0.21500457668273054, 0.040971267541842424, 0.2931657623269235, 0.08296559645704922, 0.32796878884067204, 0.09753767865023336, 0.05419881319045686, 0.1489081666230802, 0.07266225203801768, -0.34738958555181865, 0.27350187557668315, 0.16879053009526754, 0.11493028813189539, 0.12041334056140932, 0.13317974794655751, 0.14446721433073656, 0.12122296305542307, 0.1534215445527033, 0.120438357274693, -0.3603119460123285, 0.18344446751361654, 0.11248826622005621, 0.14865081025697122, 0.16244353098861064, 0.1786731662179077, 0.1541939430854872, 0.10927714488776089, 0.13524206880095094, 0.18639138115290532, -0.2028010884624654, 0.3698112622942821, 0.12093830654917552, 0.17172691186884054, 0.2822821521808291, 0.1274638571782701, -0.017702452590179774, 0.06608238751160317, -0.01022476311918552, -0.7953101184542564, 0.13533376638803335, 0.21880625775857582, 0.10482627112147754, 0.06880821355011661, 0.11944005979211682, 0.11151461187037903, 0.16939642360206358, -0.45006811366058863]","['              precision    recall  f1-score   support', '', '           0       0.75      0.19      0.30        32', '           1       0.46      0.92      0.61        24', '', '   micro avg       0.50      0.50      0.50        56', '   macro avg       0.60      0.55      0.46        56', 'weighted avg       0.62      0.50      0.43        56', '']","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
5,0.5495495495495496,0.2857142857142857,"[0.21940165349927324, -0.4449069504094944, 0.8571585301787881, 0.3841261672845727, -0.034112469374679766, 0.6070324877469474, 0.2775298645591567, 0.6969280776272356, 0.5531815004574488, 0.15933364437617237, 0.2741283495807434, 0.7845638333537241, 0.11628657928312713, 0.2241153627894962, 0.532798315407664, 0.20321234764614993, 0.4148133822391869, 0.28292590242579413, 0.25252450855807895, 0.2789018815447397, 0.22877421228698325, 0.2603915852476171, 0.34920387585693097, 0.26618151245637417, 0.30033757782575343, 0.3243823638051226, 0.23693200953529517, 0.3749894587078188, 0.09226668656410703, 0.3112100394051404, 0.24817633058701244, 0.12018896138842458, 0.1561908879879454, 0.26171342788615176, 0.2577467914239816, 0.11310729727927823, 0.4657472203914461, 0.24470774009709673, -0.3428918209711052, 0.4212331509299606, 0.47625493899268007, 0.230434423845074, 0.38155449767853744, 0.33243379195150163, 0.11585183373641825, 0.38893804800148374, 0.11594380692259998, 0.6777780695838238, 0.8446766864531314, 0.38210096334438115, 0.27069781181328934, 0.7095460107766811, 0.3236171570715879, 0.27609193230256873, 0.25462185221105643, 1.299559884123709]","['              precision    recall  f1-score   support', '', '           0       0.67      0.05      0.09        41', '           1       0.26      0.93      0.41        15', '', '   micro avg       0.29      0.29      0.29        56', '   macro avg       0.47      0.49      0.25        56', 'weighted avg       0.56      0.29      0.18        56', '']","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,0.6531531531531531,0.3392857142857143,"[0.024798529131606045, 0.7183427918487505, 0.8118362014183315, 0.3206705720353655, 0.513909083194065, -1.518718371693581, 0.10577666415287673, -0.035304280881253036, 0.3434786710797584, 0.10309025197963967, -1.578588006664066, 0.09336839009131656, 0.1226042124038155, 0.06521221927273954, 0.2861358652143405, 0.10977855266758338, 0.020095848607649784, -0.9559769641177911, 0.22446848780582668, 0.33350233590614003, 0.07489210713411812, 0.2943170771481814, 0.18016383793810423, 0.8282964746883069, 1.2384675576585689, 0.10108047778900647, -0.3194244410430955, 0.06567431802724834, 0.19544278083770578, 0.08769056246556664, 1.172033623939076, 0.01848872267982493, 0.2755060635736156, 0.373044993910243, 0.5434972878139738, 0.1326350009384739, 0.14944691607603378, 0.6525319787067342, 0.14370445201925275, 0.22614879849133146, 0.08463227474177223, -1.8079151671419178, 0.6119854563319689, -0.3947333391403966, 0.5106051451053231, 0.10934757325468385, -2.0912799541731606, 0.029396515034569803, 0.4326955112670909, 0.3148657082861788, -0.09896518441717854, 0.15756901900273573, 0.09909127295457015, -0.2552984578542097, -0.11081091333308062, 0.17603741215839455]","['              precision    recall  f1-score   support', '', '           0       0.64      0.17      0.27        40', '           1       0.27      0.75      0.39        16', '', '   micro avg       0.34      0.34      0.34        56', '   macro avg       0.45      0.46      0.33        56', 'weighted avg       0.53      0.34      0.31        56', '']","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1]"
7,0.5225225225225225,0.4642857142857143,"[-0.39682625833451707, 0.2877836930526781, 0.05716330408834053, 0.5558239888560317, -0.2209030522217575, 0.18785876168324994, 0.03299528487487802, 0.40786351448692526, 0.7670726386588005, 0.6240496607324045, 0.20849990661631346, 0.21340256838951294, 0.2986728518869899, -1.0972781464702448, 0.321869514982951, 0.5057727902779966, 0.2586276234564198, 0.236816717244237, -1.2829772732637388, 0.3819063751429115, 0.3676133659364641, 0.2549669903192715, 0.302119925192465, 0.3312119017246148, 0.33366464557160785, 0.31522241322223565, 0.2755023798245446, 0.3081564593962534, 0.31840549792441514, 0.7029148163484018, 0.45034450145655824, 0.3830607322444841, 0.23978563305112865, -16.56238042085082, 0.5633355730885738, 0.7284909959521975, 0.29799362911371646, 0.7115595898681084, 0.2613366904311558, 0.31989801406049223, 0.14646409909608485, 0.1812344742699503, 0.23278420372952996, 0.48602039127195695, 0.3965028128994823, 0.42246053587977833, 0.2704298892472526, 0.46570256951231614, 0.28533179308898515, 0.3201346501770736, 0.3115000312306852, 0.3337520336902627, 0.7411545357045504, 0.3449215175689375, -0.42124849001945036, 0.20591637903848392]","['              precision    recall  f1-score   support', '', '           0       0.83      0.15      0.25        34', '           1       0.42      0.95      0.58        22', '', '   micro avg       0.46      0.46      0.46        56', '   macro avg       0.63      0.55      0.42        56', 'weighted avg       0.67      0.46      0.38        56', '']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
8,0.5720720720720721,0.5178571428571429,"[0.21365723016747545, 0.3092043995585855, 0.3493766337418594, 0.10407942809064732, 0.0990043720779703, 0.6622184075179246, 0.15880138530149612, 0.27050471271765386, 0.32959530104876944, 0.11533344879364847, 0.3407369115961403, 0.7145370708753316, 0.21470055191726714, 0.4014442186874728, 0.1501201780994212, -0.221989558303269, -0.9141149815937941, 0.12415182454824761, -0.07183932245056035, 0.15324196354855402, 0.11626837925165287, -0.1619186560099346, 0.002781238234468103, 0.18024719571069467, 0.16392073960218653, 0.09387134063016993, 0.08491637460554492, 0.10122280330368386, 0.3339125268648242, -0.1544765686793947, 0.3325495550705223, 0.5850775229447815, 0.24511102374295785, 0.09787492894228961, -0.0010998267160433756, 0.13700341618032313, 0.18665913558609054, -1.7355143403796351, 0.07442631888821839, 0.10656033285019985, 0.17189767090164965, 0.08547880444794342, 0.6443175519948254, 0.10602591472648415, 0.08475907458664964, -1.5269400150760917, 0.25864080673256856, -3.9801349513419106, -0.20630673269410155, 0.22629839333274282, 0.28514596690244, 0.2907774356896795, -0.13669625737866853, 0.24490148818246685, 0.22189560241861428, 0.17462650159433518]","['              precision    recall  f1-score   support', '', '           0       0.64      0.23      0.34        30', '           1       0.49      0.85      0.62        26', '', '   micro avg       0.52      0.52      0.52        56', '   macro avg       0.56      0.54      0.48        56', 'weighted avg       0.57      0.52      0.47        56', '']","[0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]"
9,0.5765765765765766,0.5535714285714286,"[0.2572926254238304, 0.26586922975493144, 0.09530099905792543, 0.6765412197966072, 0.6920590773828663, 0.05714811143607307, 0.10256868186957985, 0.07061630505072126, -0.3875849724747057, 0.08292423843108966, 0.03964625310569163, 0.22798334485016636, 0.14757338636964967, 0.142794904650953, 0.10011355216985562, -0.394006721969435, -0.6725603293570335, 0.1380005077563698, 0.17869207933517195, -0.20528090983345043, 0.23387286897533843, 0.13223676667648987, 0.08102196720731153, 0.3133497876189989, 0.0743149452024985, 0.05769711632392924, -0.34174797799382883, -0.06395380739907859, 0.2250572132629558, -1.0224164894836394, 0.11275026860107222, -0.5292120308202469, 0.14192182606314158, 0.06873008547036952, 0.119305440029749, 0.02488812184989843, 0.35791093639498783, 0.12093164780797991, 0.037649535969102935, 0.2830768165287905, 0.47486052813760454, 0.18106843003795353, 0.11631032615470835, 0.29319083579396615, 0.006747969144906246, -0.5280327634482938, 0.07421282918062778, 0.1759768059502094, -0.05350449714874404, 0.06429783860284628, -0.040719442304057954, 0.0799224129392014, 0.04119034888660482, -0.14035218621339957, 0.3449890189387031, 0.12443056040728838]","['              precision    recall  f1-score   support', '', '           0       0.92      0.31      0.47        35', '           1       0.45      0.95      0.62        21', '', '   micro avg       0.55      0.55      0.55        56', '   macro avg       0.69      0.63      0.54        56', 'weighted avg       0.74      0.55      0.52        56', '']","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1]"
