train_auc:               precision    recall  f1-score   support

           0       1.00      0.95      0.97       128
           1       1.00      0.95      0.97       294
           2       1.00      0.98      0.99       153
           3       0.92      0.97      0.94      1944
           4       1.00      0.97      0.99       425
           5       0.90      0.97      0.94      1772
           6       0.98      0.91      0.94      1083
           7       1.00      0.83      0.90       881

   micro avg       0.94      0.94      0.94      6680
   macro avg       0.97      0.94      0.96      6680
weighted avg       0.95      0.94      0.94      6680

test_auc:               precision    recall  f1-score   support

           0       0.00      0.00      0.00        42
           1       0.29      0.09      0.14        56
           2       0.00      0.00      0.00        37
           3       0.48      0.68      0.56       506
           4       0.54      0.41      0.46       135
           5       0.41      0.52      0.46       428
           6       0.34      0.23      0.27       247
           7       0.15      0.07      0.10       219

   micro avg       0.42      0.42      0.42      1670
   macro avg       0.28      0.25      0.25      1670
weighted avg       0.37      0.42      0.38      1670

train_rho: 0.9246751453996531
test_rho: 0.16170433413534946
