,train accuracy,test accuracy,class report,y test,y pred
0,0.90990991,0.589285714,"              precision    recall  f1-score   support

           0       0.68      0.66      0.67        35
           1       0.45      0.48      0.47        21

   micro avg       0.59      0.59      0.59        56
   macro avg       0.57      0.57      0.57        56
weighted avg       0.59      0.59      0.59        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 0
 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0]"
1,0.923423423,0.446428571,"              precision    recall  f1-score   support

           0       0.56      0.57      0.56        35
           1       0.25      0.24      0.24        21

   micro avg       0.45      0.45      0.45        56
   macro avg       0.40      0.40      0.40        56
weighted avg       0.44      0.45      0.44        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0
 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1]"
2,0.932432432,0.5,"              precision    recall  f1-score   support

           0       0.59      0.63      0.61        35
           1       0.32      0.29      0.30        21

   micro avg       0.50      0.50      0.50        56
   macro avg       0.46      0.46      0.46        56
weighted avg       0.49      0.50      0.49        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1
 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 1]"
3,0.855855856,0.589285714,"              precision    recall  f1-score   support

           0       0.67      0.69      0.68        35
           1       0.45      0.43      0.44        21

   micro avg       0.59      0.59      0.59        56
   macro avg       0.56      0.56      0.56        56
weighted avg       0.59      0.59      0.59        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1]"
4,0.914414414,0.607142857,"              precision    recall  f1-score   support

           0       0.66      0.77      0.71        35
           1       0.47      0.33      0.39        21

   micro avg       0.61      0.61      0.61        56
   macro avg       0.56      0.55      0.55        56
weighted avg       0.59      0.61      0.59        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0
 1 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0]"
5,0.923423423,0.535714286,"              precision    recall  f1-score   support

           0       0.62      0.69      0.65        35
           1       0.35      0.29      0.32        21

   micro avg       0.54      0.54      0.54        56
   macro avg       0.48      0.49      0.48        56
weighted avg       0.52      0.54      0.52        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0
 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1]"
6,0.878378378,0.553571429,"              precision    recall  f1-score   support

           0       0.64      0.66      0.65        35
           1       0.40      0.38      0.39        21

   micro avg       0.55      0.55      0.55        56
   macro avg       0.52      0.52      0.52        56
weighted avg       0.55      0.55      0.55        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1
 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0]"
7,0.905405405,0.607142857,"              precision    recall  f1-score   support

           0       0.65      0.80      0.72        35
           1       0.46      0.29      0.35        21

   micro avg       0.61      0.61      0.61        56
   macro avg       0.56      0.54      0.54        56
weighted avg       0.58      0.61      0.58        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]"
8,0.900900901,0.607142857,"              precision    recall  f1-score   support

           0       0.71      0.63      0.67        35
           1       0.48      0.57      0.52        21

   micro avg       0.61      0.61      0.61        56
   macro avg       0.59      0.60      0.59        56
weighted avg       0.62      0.61      0.61        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 1 1 0 1
 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 0 0]"
9,0.995495495,0.589285714,"              precision    recall  f1-score   support

           0       0.64      0.77      0.70        35
           1       0.43      0.29      0.34        21

   micro avg       0.59      0.59      0.59        56
   macro avg       0.54      0.53      0.52        56
weighted avg       0.56      0.59      0.57        56
","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0
 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0]"
