train_auc:               precision    recall  f1-score   support

           0       0.11      0.48      0.17       140
           1       0.15      0.39      0.22       281
           2       0.13      0.37      0.19       148
           3       0.54      0.50      0.52      1935
           4       0.38      0.80      0.51       449
           5       0.50      0.30      0.37      1771
           6       0.36      0.26      0.30      1069
           7       0.33      0.11      0.16       887

   micro avg       0.37      0.37      0.37      6680
   macro avg       0.31      0.40      0.31      6680
weighted avg       0.43      0.37      0.37      6680

test_auc:               precision    recall  f1-score   support

           0       0.03      0.13      0.04        30
           1       0.07      0.19      0.10        69
           2       0.03      0.10      0.05        42
           3       0.52      0.46      0.49       515
           4       0.28      0.56      0.37       111
           5       0.45      0.26      0.33       429
           6       0.23      0.16      0.19       261
           7       0.15      0.06      0.09       213

   micro avg       0.29      0.29      0.29      1670
   macro avg       0.22      0.24      0.21      1670
weighted avg       0.36      0.29      0.31      1670

train_rho: 0.12363087151366499
test_rho: 0.06377103196027724
