train_auc:               precision    recall  f1-score   support

           0       1.00      0.95      0.97       140
           1       1.00      0.94      0.97       290
           2       1.00      0.99      0.99       145
           3       0.91      0.97      0.94      1964
           4       1.00      0.99      0.99       439
           5       0.90      0.97      0.93      1760
           6       0.99      0.90      0.94      1054
           7       1.00      0.85      0.92       888

   micro avg       0.94      0.94      0.94      6680
   macro avg       0.97      0.94      0.96      6680
weighted avg       0.95      0.94      0.94      6680

test_auc:               precision    recall  f1-score   support

           0       0.00      0.00      0.00        30
           1       0.19      0.08      0.11        60
           2       0.11      0.02      0.04        45
           3       0.47      0.67      0.56       486
           4       0.39      0.34      0.36       121
           5       0.42      0.52      0.46       440
           6       0.33      0.19      0.24       276
           7       0.24      0.14      0.18       212

   micro avg       0.41      0.41      0.41      1670
   macro avg       0.27      0.25      0.24      1670
weighted avg       0.37      0.41      0.38      1670

train_rho: 0.9309815213431076
test_rho: 0.16335782587519387
