,train accuracy,test accuracy,y score,class report,confusion_matrix,y test,y pred
0,0.9774774774774775,0.7678571428571429,"[[0.572212   0.42778805]
 [0.7227305  0.27726945]
 [0.8087033  0.19129671]
 [0.5962974  0.40370262]
 [0.97418743 0.02581256]
 [0.56814086 0.43185914]
 [0.91096103 0.08903898]
 [0.7869854  0.21301459]
 [0.9036258  0.09637424]
 [0.65657145 0.34342855]
 [0.7086241  0.29137585]
 [0.7593488  0.24065118]
 [0.87049174 0.12950824]
 [0.87214637 0.1278536 ]
 [0.34308237 0.65691763]
 [0.809222   0.190778  ]
 [0.75134057 0.24865942]
 [0.72833824 0.27166176]
 [0.94732267 0.05267734]
 [0.45290148 0.5470985 ]
 [0.59807795 0.40192205]
 [0.3386786  0.6613214 ]
 [0.7277017  0.27229828]
 [0.3771417  0.6228583 ]
 [0.8748083  0.12519166]
 [0.17572224 0.82427776]
 [0.7259352  0.27406475]
 [0.67049474 0.32950526]
 [0.6538274  0.34617254]
 [0.8629284  0.13707161]
 [0.8384319  0.1615681 ]
 [0.9326255  0.06737455]
 [0.29769236 0.70230764]
 [0.9082095  0.0917905 ]
 [0.35505468 0.6449453 ]
 [0.37719768 0.6228023 ]
 [0.8449473  0.15505274]
 [0.8816305  0.11836954]
 [0.94426364 0.05573634]
 [0.725708   0.27429202]
 [0.43389612 0.5661039 ]
 [0.40775114 0.59224886]
 [0.78230923 0.21769075]
 [0.61460316 0.38539684]
 [0.5588492  0.4411508 ]
 [0.5211048  0.47889516]
 [0.16083163 0.83916837]
 [0.51084393 0.48915607]
 [0.80114585 0.19885415]
 [0.7388731  0.26112688]
 [0.8683413  0.13165864]
 [0.58186936 0.41813064]
 [0.90376407 0.09623592]
 [0.98578686 0.01421315]
 [0.66667116 0.3333288 ]
 [0.8199538  0.1800462 ]]","              precision    recall  f1-score   support

           0       0.78      0.92      0.84        38
           1       0.73      0.44      0.55        18

   micro avg       0.77      0.77      0.77        56
   macro avg       0.75      0.68      0.70        56
weighted avg       0.76      0.77      0.75        56
","[[35  3]
 [10  8]]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0
 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]"
1,0.990990990990991,0.625,"[[0.41850424 0.58149576]
 [0.9132555  0.0867445 ]
 [0.93458366 0.06541636]
 [0.7858132  0.2141868 ]
 [0.8656717  0.13432832]
 [0.99296695 0.00703303]
 [0.70092    0.29908   ]
 [0.33581203 0.66418797]
 [0.40687656 0.59312344]
 [0.78067297 0.21932703]
 [0.6642418  0.33575824]
 [0.6874639  0.31253612]
 [0.922945   0.07705497]
 [0.64158094 0.35841903]
 [0.3015375  0.6984625 ]
 [0.20072877 0.7992712 ]
 [0.12222105 0.87777895]
 [0.8704957  0.12950434]
 [0.29128885 0.70871115]
 [0.8860314  0.11396864]
 [0.09313804 0.90686196]
 [0.46742296 0.53257704]
 [0.63857025 0.36142975]
 [0.9575997  0.04240032]
 [0.7969296  0.20307037]
 [0.9958005  0.00419951]
 [0.6976172  0.30238283]
 [0.9629354  0.03706461]
 [0.61354643 0.38645357]
 [0.1665377  0.8334623 ]
 [0.9008956  0.09910438]
 [0.03708428 0.9629157 ]
 [0.9265313  0.07346866]
 [0.681622   0.318378  ]
 [0.7642076  0.2357924 ]
 [0.761263   0.238737  ]
 [0.9446235  0.05537653]
 [0.65568495 0.34431505]
 [0.87828225 0.12171776]
 [0.44422096 0.55577904]
 [0.980073   0.01992703]
 [0.73866814 0.26133186]
 [0.8406727  0.15932733]
 [0.09509647 0.90490353]
 [0.8063594  0.19364059]
 [0.47946632 0.5205337 ]
 [0.7147879  0.2852121 ]
 [0.3122996  0.6877004 ]
 [0.3608421  0.6391579 ]
 [0.74782354 0.25217646]
 [0.8063339  0.19366613]
 [0.8553251  0.1446749 ]
 [0.3253836  0.6746164 ]
 [0.6823826  0.31761745]
 [0.33427918 0.6657208 ]
 [0.93222654 0.06777345]]","              precision    recall  f1-score   support

           0       0.74      0.72      0.73        39
           1       0.39      0.41      0.40        17

   micro avg       0.62      0.62      0.62        56
   macro avg       0.56      0.56      0.56        56
weighted avg       0.63      0.62      0.63        56
","[[28 11]
 [10  7]]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0]"
2,0.9954954954954955,0.625,"[[0.8961554  0.10384458]
 [0.5222331  0.47776687]
 [0.5910002  0.40899983]
 [0.9780615  0.02193851]
 [0.7941325  0.20586753]
 [0.42914832 0.5708517 ]
 [0.6253694  0.37463057]
 [0.8642093  0.13579069]
 [0.32048678 0.6795132 ]
 [0.7586757  0.24132429]
 [0.0518465  0.9481535 ]
 [0.15036577 0.84963423]
 [0.9614773  0.03852273]
 [0.73848486 0.26151514]
 [0.70149195 0.29850805]
 [0.0750019  0.9249981 ]
 [0.36422092 0.6357791 ]
 [0.703851   0.296149  ]
 [0.590338   0.40966204]
 [0.02138686 0.97861314]
 [0.5962425  0.4037575 ]
 [0.59856987 0.40143016]
 [0.5350883  0.4649117 ]
 [0.6687133  0.33128673]
 [0.39091486 0.60908514]
 [0.25353086 0.74646914]
 [0.6072422  0.39275774]
 [0.75324607 0.24675396]
 [0.15722257 0.84277743]
 [0.20700473 0.7929953 ]
 [0.8145671  0.18543291]
 [0.87403405 0.12596597]
 [0.9190506  0.08094943]
 [0.91492367 0.08507635]
 [0.4973142  0.5026858 ]
 [0.45246208 0.5475379 ]
 [0.79188764 0.20811234]
 [0.5257721  0.4742279 ]
 [0.30654734 0.69345266]
 [0.7071459  0.2928541 ]
 [0.879893   0.12010698]
 [0.9031893  0.09681071]
 [0.61835825 0.38164175]
 [0.9282503  0.0717497 ]
 [0.38170564 0.61829436]
 [0.6781593  0.3218407 ]
 [0.23404735 0.76595265]
 [0.15197033 0.8480297 ]
 [0.95053315 0.04946684]
 [0.38721037 0.61278963]
 [0.23370695 0.76629305]
 [0.72672045 0.27327952]
 [0.43731368 0.5626863 ]
 [0.8763493  0.12365071]
 [0.16254151 0.8374585 ]
 [0.46332365 0.53667635]]","              precision    recall  f1-score   support

           0       0.76      0.67      0.71        39
           1       0.41      0.53      0.46        17

   micro avg       0.62      0.62      0.62        56
   macro avg       0.59      0.60      0.59        56
weighted avg       0.66      0.62      0.64        56
","[[26 13]
 [ 8  9]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0
 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 1]"
3,0.9954954954954955,0.5892857142857143,"[[0.8550088  0.14499123]
 [0.6571131  0.3428869 ]
 [0.9745813  0.02541868]
 [0.1923868  0.8076132 ]
 [0.66778433 0.33221567]
 [0.50229263 0.49770737]
 [0.25592113 0.7440789 ]
 [0.53354883 0.4664512 ]
 [0.32947624 0.67052376]
 [0.6173184  0.3826816 ]
 [0.8530781  0.1469219 ]
 [0.80499846 0.19500156]
 [0.9502553  0.04974473]
 [0.7472689  0.2527311 ]
 [0.686386   0.313614  ]
 [0.47084552 0.5291545 ]
 [0.5586618  0.44133815]
 [0.21657372 0.7834263 ]
 [0.3544479  0.6455521 ]
 [0.16407907 0.83592093]
 [0.8724015  0.1275985 ]
 [0.7528062  0.24719384]
 [0.07017839 0.9298216 ]
 [0.89267117 0.10732885]
 [0.56504303 0.43495697]
 [0.9091077  0.0908923 ]
 [0.3515584  0.6484416 ]
 [0.29272097 0.707279  ]
 [0.16971618 0.8302838 ]
 [0.02815503 0.971845  ]
 [0.93518144 0.06481858]
 [0.7695459  0.23045412]
 [0.42168093 0.5783191 ]
 [0.7172309  0.28276908]
 [0.06071961 0.9392804 ]
 [0.23118389 0.7688161 ]
 [0.07954216 0.92045784]
 [0.6070962  0.3929038 ]
 [0.880072   0.11992803]
 [0.9892956  0.0107044 ]
 [0.4446329  0.5553671 ]
 [0.23135322 0.7686468 ]
 [0.66863894 0.33136103]
 [0.6714815  0.3285185 ]
 [0.81017566 0.18982436]
 [0.93799406 0.06200596]
 [0.18420893 0.8157911 ]
 [0.30768067 0.69231933]
 [0.27484578 0.7251542 ]
 [0.87295985 0.12704012]
 [0.83555436 0.16444564]
 [0.9609294  0.03907061]
 [0.69252825 0.30747178]
 [0.18725598 0.812744  ]
 [0.3325038  0.6674962 ]
 [0.9073586  0.0926414 ]]","              precision    recall  f1-score   support

           0       0.73      0.63      0.68        38
           1       0.39      0.50      0.44        18

   micro avg       0.59      0.59      0.59        56
   macro avg       0.56      0.57      0.56        56
weighted avg       0.62      0.59      0.60        56
","[[24 14]
 [ 9  9]]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]","[0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 1 0 1 1 1
 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0]"
4,0.972972972972973,0.5535714285714286,"[[0.8232975  0.17670248]
 [0.4768235  0.5231765 ]
 [0.9242824  0.07571761]
 [0.951936   0.04806397]
 [0.9605237  0.03947628]
 [0.05688757 0.94311243]
 [0.54843843 0.45156157]
 [0.83744603 0.16255395]
 [0.92209125 0.07790872]
 [0.7701318  0.2298682 ]
 [0.9741276  0.02587238]
 [0.7604968  0.23950322]
 [0.9396276  0.06037239]
 [0.89989537 0.10010463]
 [0.50049007 0.49950993]
 [0.4685493  0.5314507 ]
 [0.7164887  0.28351128]
 [0.6678504  0.33214962]
 [0.6947378  0.3052622 ]
 [0.9243154  0.07568462]
 [0.975067   0.02493301]
 [0.9206977  0.07930233]
 [0.17406255 0.82593745]
 [0.981776   0.01822397]
 [0.77245784 0.22754219]
 [0.78127205 0.21872798]
 [0.55819416 0.44180584]
 [0.84715366 0.1528463 ]
 [0.39624017 0.6037598 ]
 [0.45340347 0.5465965 ]
 [0.7996322  0.20036778]
 [0.5662037  0.43379626]
 [0.46166933 0.5383307 ]
 [0.37682623 0.6231738 ]
 [0.8306473  0.16935273]
 [0.33194506 0.66805494]
 [0.6230397  0.3769603 ]
 [0.8109073  0.1890927 ]
 [0.45350152 0.5464985 ]
 [0.80389273 0.1961073 ]
 [0.7108699  0.2891301 ]
 [0.45557064 0.54442936]
 [0.89486396 0.10513602]
 [0.12196743 0.87803257]
 [0.13959235 0.86040765]
 [0.9298755  0.07012453]
 [0.77333003 0.22666998]
 [0.9798501  0.02014988]
 [0.45760953 0.54239047]
 [0.06502539 0.9349746 ]
 [0.74364394 0.25635606]
 [0.17174542 0.8282546 ]
 [0.8334001  0.16659993]
 [0.403616   0.596384  ]
 [0.803592   0.19640797]
 [0.84364104 0.15635896]]","              precision    recall  f1-score   support

           0       0.56      0.73      0.64        30
           1       0.53      0.35      0.42        26

   micro avg       0.55      0.55      0.55        56
   macro avg       0.55      0.54      0.53        56
weighted avg       0.55      0.55      0.54        56
","[[22  8]
 [17  9]]","[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0
 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0]"
5,0.9864864864864865,0.5714285714285714,"[[0.24409139 0.7559086 ]
 [0.7888652  0.21113482]
 [0.52972966 0.47027034]
 [0.7501974  0.24980256]
 [0.65762085 0.34237915]
 [0.776616   0.22338402]
 [0.8084823  0.19151773]
 [0.47907048 0.5209295 ]
 [0.6209471  0.37905288]
 [0.97533226 0.02466777]
 [0.7447965  0.25520346]
 [0.6473992  0.3526008 ]
 [0.6968774  0.30312258]
 [0.9138518  0.08614821]
 [0.8243249  0.17567508]
 [0.9711147  0.02888533]
 [0.65804815 0.34195185]
 [0.8700814  0.1299186 ]
 [0.06976157 0.9302384 ]
 [0.71733093 0.28266907]
 [0.04392236 0.95607764]
 [0.9594499  0.04055009]
 [0.294111   0.705889  ]
 [0.77478147 0.22521852]
 [0.8635051  0.1364949 ]
 [0.36814612 0.6318539 ]
 [0.4985113  0.5014887 ]
 [0.974141   0.02585898]
 [0.12395191 0.8760481 ]
 [0.20052457 0.79947543]
 [0.03599006 0.96400994]
 [0.6704564  0.32954356]
 [0.271358   0.728642  ]
 [0.35190362 0.6480964 ]
 [0.47855866 0.52144134]
 [0.37908304 0.62091696]
 [0.37802505 0.62197495]
 [0.19880289 0.8011971 ]
 [0.70728767 0.29271236]
 [0.96954656 0.03045346]
 [0.67269623 0.3273038 ]
 [0.9351022  0.0648978 ]
 [0.8002678  0.19973215]
 [0.6694282  0.33057177]
 [0.07687831 0.9231217 ]
 [0.39163935 0.60836065]
 [0.5738646  0.4261354 ]
 [0.6305854  0.36941463]
 [0.973229   0.026771  ]
 [0.4544847  0.5455153 ]
 [0.73905325 0.26094672]
 [0.48732257 0.51267743]
 [0.8760273  0.12397273]
 [0.6656988  0.33430117]
 [0.1519801  0.8480199 ]
 [0.503052   0.49694797]]","              precision    recall  f1-score   support

           0       0.60      0.68      0.64        31
           1       0.52      0.44      0.48        25

   micro avg       0.57      0.57      0.57        56
   macro avg       0.56      0.56      0.56        56
weighted avg       0.57      0.57      0.57        56
","[[21 10]
 [14 11]]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1
 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0]"
6,0.9864864864864865,0.6964285714285714,"[[0.7004032  0.2995968 ]
 [0.41544527 0.58455473]
 [0.64607143 0.35392857]
 [0.96566546 0.03433456]
 [0.81094694 0.18905303]
 [0.92645925 0.07354075]
 [0.9813747  0.01862531]
 [0.92258996 0.07741006]
 [0.8658047  0.13419534]
 [0.46632093 0.53367907]
 [0.884164   0.115836  ]
 [0.52378297 0.47621703]
 [0.31510186 0.68489814]
 [0.46159357 0.53840643]
 [0.74791026 0.2520897 ]
 [0.5277701  0.4722299 ]
 [0.8040629  0.19593711]
 [0.77545613 0.22454385]
 [0.4142099  0.5857901 ]
 [0.37948567 0.62051433]
 [0.41051763 0.58948237]
 [0.81201154 0.18798847]
 [0.559885   0.44011497]
 [0.20792365 0.79207635]
 [0.67553604 0.32446393]
 [0.57714856 0.42285147]
 [0.8511014  0.1488986 ]
 [0.8749299  0.1250701 ]
 [0.85807955 0.14192045]
 [0.36525607 0.6347439 ]
 [0.46391523 0.5360848 ]
 [0.31835377 0.6816462 ]
 [0.86678606 0.13321394]
 [0.33206314 0.66793686]
 [0.5319113  0.4680887 ]
 [0.05940914 0.94059086]
 [0.7277774  0.27222258]
 [0.45975047 0.5402495 ]
 [0.9170964  0.08290363]
 [0.44102424 0.55897576]
 [0.57939476 0.42060524]
 [0.9421995  0.05780048]
 [0.7264122  0.27358785]
 [0.12342566 0.87657434]
 [0.81868964 0.18131037]
 [0.15585709 0.8441429 ]
 [0.7180915  0.28190854]
 [0.46114898 0.538851  ]
 [0.7900747  0.20992528]
 [0.6498463  0.35015368]
 [0.90028703 0.09971296]
 [0.70565176 0.29434827]
 [0.50022507 0.49977496]
 [0.04545581 0.9545442 ]
 [0.41387987 0.5861201 ]
 [0.9824544  0.01754555]]","              precision    recall  f1-score   support

           0       0.78      0.76      0.77        37
           1       0.55      0.58      0.56        19

   micro avg       0.70      0.70      0.70        56
   macro avg       0.66      0.67      0.67        56
weighted avg       0.70      0.70      0.70        56
","[[28  9]
 [ 8 11]]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0
 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0]"
7,0.9819819819819819,0.6428571428571429,"[[0.34215486 0.65784514]
 [0.47030342 0.5296966 ]
 [0.9674443  0.03255568]
 [0.2893471  0.7106529 ]
 [0.6420582  0.3579418 ]
 [0.25682056 0.74317944]
 [0.87670386 0.12329614]
 [0.5259118  0.47408822]
 [0.4982618  0.5017382 ]
 [0.22961211 0.7703879 ]
 [0.3075382  0.6924618 ]
 [0.02700371 0.9729963 ]
 [0.5984336  0.40156636]
 [0.5842093  0.41579065]
 [0.67472136 0.3252786 ]
 [0.34588832 0.6541117 ]
 [0.83417886 0.16582114]
 [0.7801315  0.21986847]
 [0.94185865 0.05814134]
 [0.7110769  0.28892308]
 [0.8273756  0.17262442]
 [0.05232966 0.94767034]
 [0.34935302 0.650647  ]
 [0.5667685  0.4332315 ]
 [0.867727   0.132273  ]
 [0.3433498  0.6566502 ]
 [0.87447166 0.12552832]
 [0.890878   0.10912198]
 [0.15775633 0.8422437 ]
 [0.76951516 0.23048483]
 [0.19127846 0.80872154]
 [0.96221185 0.03778818]
 [0.7667238  0.23327619]
 [0.0269497  0.9730503 ]
 [0.8048405  0.1951595 ]
 [0.6944437  0.30555633]
 [0.22933859 0.7706614 ]
 [0.27580404 0.72419596]
 [0.8356798  0.16432016]
 [0.39270252 0.6072975 ]
 [0.8210889  0.1789111 ]
 [0.56493926 0.4350607 ]
 [0.83797425 0.16202575]
 [0.13865471 0.8613453 ]
 [0.20049292 0.7995071 ]
 [0.6524799  0.34752008]
 [0.584823   0.415177  ]
 [0.56959116 0.4304088 ]
 [0.5617088  0.43829122]
 [0.65716636 0.3428336 ]
 [0.92658323 0.07341678]
 [0.5191945  0.48080552]
 [0.7011051  0.29889485]
 [0.860901   0.13909903]
 [0.4528548  0.5471452 ]
 [0.84423614 0.15576385]]","              precision    recall  f1-score   support

           0       0.74      0.70      0.72        37
           1       0.48      0.53      0.50        19

   micro avg       0.64      0.64      0.64        56
   macro avg       0.61      0.61      0.61        56
weighted avg       0.65      0.64      0.65        56
","[[26 11]
 [ 9 10]]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1
 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0]"
8,0.9954954954954955,0.6428571428571429,"[[0.8967813  0.1032187 ]
 [0.4193716  0.5806284 ]
 [0.4431026  0.5568974 ]
 [0.9850917  0.01490829]
 [0.82100666 0.17899333]
 [0.47918993 0.52081007]
 [0.30672187 0.69327813]
 [0.59769964 0.40230033]
 [0.236853   0.763147  ]
 [0.525503   0.47449702]
 [0.7693778  0.23062219]
 [0.8413299  0.15867011]
 [0.7131684  0.28683162]
 [0.60438126 0.39561874]
 [0.65634    0.34365997]
 [0.9385844  0.06141564]
 [0.58801854 0.41198143]
 [0.17160022 0.8283998 ]
 [0.7169624  0.2830376 ]
 [0.78677917 0.21322086]
 [0.25735766 0.74264234]
 [0.57725656 0.42274344]
 [0.21862137 0.7813786 ]
 [0.66670406 0.33329597]
 [0.56659865 0.43340135]
 [0.07018375 0.92981625]
 [0.66002154 0.33997846]
 [0.8064898  0.19351016]
 [0.40697008 0.5930299 ]
 [0.75374657 0.24625345]
 [0.9629366  0.03706339]
 [0.9756416  0.02435837]
 [0.40042698 0.599573  ]
 [0.21271771 0.7872823 ]
 [0.29727656 0.70272344]
 [0.16971958 0.8302804 ]
 [0.8130464  0.18695362]
 [0.5463836  0.45361638]
 [0.92987883 0.07012118]
 [0.8577462  0.14225383]
 [0.4860798  0.5139202 ]
 [0.8518674  0.1481326 ]
 [0.559629   0.44037098]
 [0.9547626  0.04523744]
 [0.9452101  0.0547899 ]
 [0.5741208  0.42587918]
 [0.8930355  0.10696451]
 [0.63796    0.36203998]
 [0.93388236 0.06611762]
 [0.7413526  0.25864738]
 [0.79991823 0.20008175]
 [0.38102895 0.61897105]
 [0.85418653 0.14581345]
 [0.17556316 0.82443684]
 [0.6099044  0.3900956 ]
 [0.96655405 0.03344598]]","              precision    recall  f1-score   support

           0       0.69      0.77      0.73        35
           1       0.53      0.43      0.47        21

   micro avg       0.64      0.64      0.64        56
   macro avg       0.61      0.60      0.60        56
weighted avg       0.63      0.64      0.63        56
","[[27  8]
 [12  9]]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 1 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0]"
9,0.9864864864864865,0.5535714285714286,"[[0.9766554  0.02334456]
 [0.94964516 0.05035482]
 [0.832619   0.16738097]
 [0.5551275  0.44487253]
 [0.4490376  0.5509624 ]
 [0.83513296 0.16486703]
 [0.8473532  0.15264675]
 [0.31952173 0.6804783 ]
 [0.8232299  0.1767701 ]
 [0.8300009  0.16999912]
 [0.5370637  0.4629363 ]
 [0.12906837 0.8709316 ]
 [0.555712   0.44428805]
 [0.9154228  0.08457723]
 [0.98021084 0.01978916]
 [0.13735485 0.86264515]
 [0.3921752  0.6078248 ]
 [0.26061398 0.739386  ]
 [0.1570375  0.8429625 ]
 [0.6003488  0.39965123]
 [0.37508547 0.6249145 ]
 [0.39246196 0.60753804]
 [0.657177   0.34282303]
 [0.41863132 0.5813687 ]
 [0.3035944  0.6964056 ]
 [0.8671816  0.13281842]
 [0.2783931  0.7216069 ]
 [0.85366845 0.14633158]
 [0.8549602  0.1450398 ]
 [0.69022864 0.30977136]
 [0.99438596 0.00561405]
 [0.70324934 0.29675066]
 [0.43722147 0.56277853]
 [0.03286219 0.9671378 ]
 [0.62518466 0.37481532]
 [0.40292108 0.5970789 ]
 [0.9826032  0.01739683]
 [0.8831923  0.11680773]
 [0.9436934  0.05630662]
 [0.46463627 0.53536373]
 [0.7567212  0.24327882]
 [0.03855562 0.9614444 ]
 [0.5332234  0.46677658]
 [0.6995628  0.30043724]
 [0.36868304 0.63131696]
 [0.97468734 0.02531265]
 [0.8114798  0.18852018]
 [0.70218927 0.29781073]
 [0.21784812 0.7821519 ]
 [0.62937295 0.37062708]
 [0.9658992  0.03410077]
 [0.72262    0.27738002]
 [0.85394025 0.14605977]
 [0.9610204  0.03897958]
 [0.7013193  0.29868072]
 [0.5940551  0.40594488]]","              precision    recall  f1-score   support

           0       0.62      0.68      0.65        34
           1       0.42      0.36      0.39        22

   micro avg       0.55      0.55      0.55        56
   macro avg       0.52      0.52      0.52        56
weighted avg       0.54      0.55      0.55        56
","[[23 11]
 [14  8]]","[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]","[0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 0 1 0
 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0]"
